group,positions,coef,ck,last_k,n,accuracy,correct,mean_output_tokens,sec,sec_per_sample
control,handoff_last,0.0,0.0,40,150,0.9466666666666667,142,587.72,909.3,6.062
handoff_last,handoff_last,8.0,0.0,40,150,0.9133333333333333,137,590.0266666666666,935.2,6.235
handoff_last,handoff_last,12.0,0.0,40,150,0.92,138,609.8266666666667,996.1,6.641
handoff_last,handoff_last,-8.0,0.0,40,150,0.9333333333333333,140,604.4933333333333,985.3,6.569
judger_token,judger_token,8.0,0.0,40,150,0.94,141,440.2733333333333,939.2,6.262
judger_token,judger_token,12.0,0.0,40,150,0.9333333333333333,140,392.23333333333335,882.7,5.884
judger_token,judger_token,-8.0,0.0,40,150,0.9333333333333333,140,622.5266666666666,1052.0,7.013
handoff_all,handoff_all,0.05,0.0,40,150,0.92,138,569.0666666666667,789.8,5.266
handoff_all,handoff_all,0.1,0.0,40,150,0.94,141,584.4,863.7,5.758
handoff_all,handoff_all,0.2,0.0,40,150,0.9266666666666666,139,502.84,846.7,5.645
handoff_all,handoff_all,-0.1,0.0,40,150,0.9333333333333333,140,635.7933333333333,920.0,6.133
handoff_all,handoff_all,1.0,0.0,40,150,0.72,108,893.5466666666666,1050.9,7.006
